timestamp,cpu_usage_pct,ram_usage_pct,gpu_usage_pct,temperature_c,fan_rpm,battery_pct,power_watts,disk_usage_pct,network_mbps
2026-06-01T08:00:00,16,37,19,45,1319,100.0,16.4,58.0,4.49
2026-06-01T08:05:00,17,44,10,44,1307,99.9,15.4,58.0,12.39
2026-06-01T08:10:00,17,45,7,39,1000,99.8,15.0,58.01,14.33
2026-06-01T08:15:00,15,45,17,46,1447,99.7,15.8,58.01,18.97
2026-06-01T08:20:00,12,35,9,40,1000,99.6,13.5,58.01,4.59
2026-06-01T08:25:00,15,38,18,40,1000,99.5,15.9,58.02,5.18
2026-06-01T08:30:00,14,43,0,38,1000,99.4,12.9,58.02,6.21
2026-06-01T08:35:00,13,42,9,42,1066,99.3,13.9,58.02,9.17
2026-06-01T08:40:00,15,37,6,38,1120,99.2,14.2,58.02,15.68
2026-06-01T08:45:00,13,38,0,41,1217,99.1,12.6,58.03,2.67
2026-06-01T08:50:00,16,44,9,42,1314,99.1,14.9,58.03,18.76
2026-06-01T08:55:00,14,42,6,37,1109,99.0,13.8,58.03,16.29
2026-06-01T09:00:00,15,40,0,39,1062,99.0,13.2,58.04,13.7
2026-06-01T09:05:00,18,42,6,42,1114,98.8,15.2,58.04,22.22
2026-06-01T09:10:00,18,39,16,46,1518,98.7,16.7,58.04,9.12
2026-06-01T09:15:00,19,44,13,42,1230,98.6,16.6,58.05,20.01
2026-06-01T09:20:00,18,47,13,41,1177,98.6,16.2,58.05,7.86
2026-06-01T09:25:00,19,39,5,41,1000,98.4,15.4,58.05,13.56
2026-06-01T09:30:00,18,39,9,39,1142,98.4,15.7,58.05,8.56
2026-06-01T09:35:00,20,48,4,44,1436,98.3,15.6,58.06,27.82
2026-06-01T09:40:00,17,40,16,44,1399,98.2,16.3,58.06,20.06
2026-06-01T09:45:00,14,40,5,39,1090,98.2,13.6,58.06,16.91
2026-06-01T09:50:00,17,44,0,41,1000,98.1,13.9,58.07,15.3
2026-06-01T09:55:00,16,39,11,41,1144,98.1,15.2,58.07,10.27
